id,first_name,last_name,specialization,phone
1,John,Banda,Urology,0964314502
2,Mary,Phiri,Internal Medicine,0968320357
3,Peter,Mulenga,Radiology,0961283750
4,Grace,Mwila,Gynecology,0963146456
5,David,Tembo,Dermatology,0963952564
6,Esther,Zulu,Surgery,0968621095
7,James,Mwanza,Orthopedics,0969633626
8,Ruth,Chanda,Neurology,0968911250
9,Michael,Mumba,Ophthalmology,0967107403
10,Brenda,Ngoma,Urology,0969405231
11,Daniel,Lungu,Psychiatry,0967074475
12,Faith,Sakala,ENT,0969411639
13,Joseph,Kabwe,Gynecology,0961875386
14,Patricia,Musonda,Radiology,0966046096
15,Brian,Daka,Pediatrics,0962896384
16,Alice,Bwalya,Pediatrics,0965464928
17,Andrew,Kapembwa,Psychiatry,0965986320
18,Joyce,Chilufya,Radiology,0962014044
19,Samuel,Siame,Dermatology,0969566329
20,Linda,Nkole,Internal Medicine,0962131671
